GPU Model Name,Vendor,GPU Model,Form Factor,Memory (GB),Memory Type,TDP (W)
AMD Instinct MI210,AMD,MI210,PCIe (dual-slot),64.0,HBM2e,300.0
AMD Instinct MI300A,AMD,MI300A,APU,128.0,HBM3,760.0
AMD Instinct MI300X,AMD,MI300X,OAM module,192.0,HBM3,750.0
AMD Instinct MI325X,AMD,MI325X,OAM module,256.0,HBM3E,1000.0
AMD Instinct MI350X,AMD,MI350X,OAM module,288.0,HBM3E,1000.0
AMD Instinct MI355X,AMD,MI355X,OAM module,288.0,HBM3E,1400.0
AMD Instinct MI430X,AMD,MI430X,Rack-scale accelerator,432.0,HBM4,
NVIDIA B100,NVIDIA,B100,HGX / SXM module,192.0,HBM3E,700.0
NVIDIA B200,NVIDIA,B200,HGX / SXM module,192.0,HBM3E,1000.0
NVIDIA H100 NVL,NVIDIA,H100 NVL,PCIe (dual-slot),94.0,HBM3,400.0
NVIDIA H100 SXM,NVIDIA,H100 SXM,SXM,80.0,HBM3,700.0
NVIDIA H200 NVL,NVIDIA,H200 NVL,PCIe (dual-slot),141.0,HBM3E,600.0
NVIDIA H200 SXM,NVIDIA,H200 SXM,SXM,141.0,HBM3E,700.0
NVIDIA L4,NVIDIA,L4,PCIe (1-slot low-profile),24.0,GDDR6,72.0
NVIDIA L40,NVIDIA,L40,PCIe,48.0,GDDR6,300.0
NVIDIA L40S,NVIDIA,L40S,PCIe,48.0,GDDR6X,350.0
NVIDIA T4,NVIDIA,T4,,,GDDR6,
